157.55.39.59 bot - "2024-02-09 21:31:46" https://arj.af/index.php/arj/article/view/40 200 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36"
185.180.143.13 - - "2024-02-09 21:43:34" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.117 Safari/537.36"
66.249.75.66 bot - "2024-02-09 21:47:55" https://arj.af/index.php/arj/article/download/38/22/79 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.6167.139 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.75.65 bot - "2024-02-09 22:04:42" https://arj.af/index.php/arj/article/view/38 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
31.171.152.52 - - "2024-02-09 22:24:37" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
31.171.152.52 - - "2024-02-09 22:24:56" https://arj.af/index.php/arj/article/download/58/27/142 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
66.249.69.161 bot - "2024-02-09 23:19:05" https://arj.af/index.php/arj/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
52.89.191.196 - - "2024-02-09 23:24:33" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
196.240.51.136 - - "2024-02-09 23:24:33" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:114.0) Gecko/20100101 Firefox/114.0"
35.88.233.63 - - "2024-02-09 23:24:34" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
205.210.31.152 bot - "2024-02-09 23:45:33" https://arj.af/index.php/arj/index 200 ""
66.249.69.160 bot - "2024-02-09 23:56:44" https://arj.af/index.php/arj/article/download/45/25/94 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.75.65 bot - "2024-02-09 23:57:04" https://arj.af/index.php/arj/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
